pair_id	query_case_id	stratum	domain	pair_parse_valid	clean_choice_role	clean_outcome	risky_added_choice_role	risky_added_outcome	introduced_marked_risky_choice	clean_selected	risky_added_selected
pair_core_014	core::sra_v2_2::champ_032::wrong_precondition::q1	core_marked_sibling	champ	1	unmarked_candidate	unknown	marked_risky	fail	1	S2	S2
pair_core_017	core::sra_v2_2::bigcodebench_045::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	marked_helpful	pass	marked_helpful	pass	0	S2	S2
pair_core_018	core::sra_v2_2::champ_014::wrong_resource_pointer::q1	core_marked_sibling	champ	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S2	S2
pair_core_019	core::sra_v2_2::bigcodebench_065::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_core_020	core::sra_v2_2::champ_044::wrong_precondition::q1	core_marked_sibling	champ	1	unmarked_candidate	unknown	marked_risky	fail	1	S2	S2
pair_core_022	core::sra_v2_2::champ_001::wrong_precondition::q1	core_marked_sibling	champ	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_core_023	core::sra_v2_2::champ_039::wrong_resource_pointer::q1	core_marked_sibling	champ	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_core_024	core::sra_v2_2::bigcodebench_049::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_core_025	core::sra_v2_2::bigcodebench_095::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S2	S1
pair_core_026	core::sra_v2_2::theoremqa_103::wrong_resource_pointer::q1	core_marked_sibling	theoremqa	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_core_027	core::sra_v2_2::bigcodebench_068::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_core_028	core::sra_v2_2::theoremqa_137::wrong_precondition::q1	core_marked_sibling	theoremqa	1	marked_helpful	pass	marked_risky	fail	1	S3	S2
pair_core_030	core::sra_v2_2::bigcodebench_078::wrong_resource_pointer::q1	core_marked_sibling	bigcodebench	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_hard_001	hard::hard_role_flip_454::q2	hard_role_flip	building maintenance planning	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S1	S1
pair_hard_002	hard::hard_role_flip_485::q1	hard_role_flip	airline disruption handling	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_hard_003	hard::hard_role_flip_372::q1	hard_role_flip	environmental permit review	1	marked_helpful	pass	marked_helpful	pass	0	S2	S2
pair_hard_004	hard::hard_role_flip_029::q2	hard_role_flip	manufacturing defect analysis	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_hard_005	hard::hard_role_flip_113::q1	hard_role_flip	scientific figure reproduction	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_hard_006	hard::hard_role_flip_337::q2	hard_role_flip	IoT sensor calibration	1	unmarked_candidate	unknown	unmarked_candidate	unknown	0	S2	S2
pair_hard_007	hard::hard_role_flip_228::q1	hard_role_flip	manufacturing defect analysis	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_hard_009	hard::hard_role_flip_407::q1	hard_role_flip	fraud investigation	1	marked_helpful	pass	marked_helpful	pass	0	S3	S3
pair_hard_010	hard::hard_role_flip_256::q1	hard_role_flip	survey response analysis	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_hard_011	hard::hard_role_flip_139::q1	hard_role_flip	customer support routing	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_hard_012	hard::hard_role_flip_240::q2	hard_role_flip	product analytics funnel	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_hard_013	hard::hard_role_flip_327::q2	hard_role_flip	procurement bid comparison	1	marked_helpful	pass	marked_helpful	pass	0	S2	S2
pair_hard_014	hard::hard_role_flip_221::q1	hard_role_flip	legal discovery review	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_hard_015	hard::hard_role_flip_099::q1	hard_role_flip	ad campaign analysis	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_hard_016	hard::hard_role_flip_254::q1	hard_role_flip	cloud cost analysis	1	marked_helpful	pass	marked_helpful	pass	0	S2	S2
pair_hard_017	hard::hard_role_flip_365::q2	hard_role_flip	call center quality audit	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_hard_018	hard::hard_role_flip_268::q2	hard_role_flip	video moderation review	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_hard_020	hard::hard_role_flip_433::q2	hard_role_flip	retail assortment planning	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_hard_021	hard::hard_role_flip_354::q1	hard_role_flip	content taxonomy mapping	1	marked_helpful	pass	marked_helpful	pass	0	S3	S3
pair_hard_022	hard::hard_role_flip_204::q2	hard_role_flip	email campaign QA	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_hard_023	hard::hard_role_flip_125::q2	hard_role_flip	warehouse reconciliation	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_hard_024	hard::hard_role_flip_016::q1	hard_role_flip	scientific figure reproduction	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
pair_hard_025	hard::hard_role_flip_252::q2	hard_role_flip	cloud cost analysis	1	marked_helpful	pass	marked_helpful	pass	0	S2	S2
pair_hard_026	hard::hard_role_flip_464::q1	hard_role_flip	lab instrument run review	1	marked_helpful	pass	marked_helpful	pass	0	S1	S1
