analysis_id	left_out_core_domain	excluded_cases	method_id	included_cases	recall_at_3	hsr_at_3	cleanhit_at_3	recall_at_5	hsr_at_5	cleanhit_at_5	recall_at_20	hsr_at_20	cleanhit_at_20
core_without_domain	swe_skills_bench	33	hybrid_lexical_rrf	661	0.636914	0.649017	0.062027	0.721634	0.732224	0.016641	0.878971	0.877458	0.006051
merged_without_core_domain	theoremqa	318	hybrid_lexical_rrf	1368	0.742690	0.212719	0.559211	0.808480	0.362573	0.467836	0.946637	0.910088	0.040205
core_without_domain	theoremqa	318	hybrid_lexical_rrf	376	0.521277	0.515957	0.093085	0.619681	0.627660	0.023936	0.824468	0.819149	0.010638
merged_without_core_domain	toolqa	14	hybrid_lexical_rrf	1672	0.747010	0.320574	0.462919	0.814593	0.452153	0.385167	0.946172	0.916268	0.032895
core_without_domain	toolqa	14	hybrid_lexical_rrf	680	0.630882	0.645588	0.064706	0.719118	0.729412	0.019118	0.877941	0.875000	0.005882
merged_all		0	skillrouter_official	1686	0.847568	0.345789	0.527284	0.874852	0.394425	0.502372	0.908066	0.640569	0.290629
core_all		0	skillrouter_official	694	0.658501	0.690202	0.030259	0.706052	0.729107	0.030259	0.778098	0.821326	0.012968
hard_all		0	skillrouter_official	992	0.979839	0.104839	0.875000	0.992944	0.160282	0.832661	0.998992	0.514113	0.484879
merged_without_core_domain	bigcodebench	135	skillrouter_official	1551	0.874275	0.327531	0.569955	0.898775	0.374597	0.543520	0.916828	0.622824	0.315280
core_without_domain	bigcodebench	135	skillrouter_official	559	0.686941	0.722719	0.028623	0.731664	0.754919	0.030411	0.771020	0.815742	0.014311
merged_without_core_domain	champ	89	skillrouter_official	1597	0.877896	0.343770	0.554790	0.904195	0.392611	0.527865	0.934252	0.645585	0.304947
core_without_domain	champ	89	skillrouter_official	605	0.710744	0.735537	0.029752	0.758678	0.773554	0.028099	0.828099	0.861157	0.009917
merged_without_core_domain	logicbench	19	skillrouter_official	1667	0.853029	0.346131	0.532094	0.880624	0.394721	0.506899	0.913017	0.643671	0.292142
core_without_domain	logicbench	19	skillrouter_official	675	0.666667	0.700741	0.028148	0.715556	0.739259	0.028148	0.786667	0.834074	0.008889
merged_without_core_domain	medcalcbench	55	skillrouter_official	1631	0.859595	0.336603	0.545064	0.887799	0.386879	0.519313	0.922134	0.641324	0.300429
core_without_domain	medcalcbench	55	skillrouter_official	639	0.672926	0.696401	0.032864	0.724570	0.738654	0.032864	0.802817	0.838811	0.014085
merged_without_core_domain	skillsbench	31	skillrouter_official	1655	0.853776	0.341390	0.537160	0.879154	0.389728	0.511178	0.911178	0.637462	0.296073
core_without_domain	skillsbench	31	skillrouter_official	663	0.665158	0.695324	0.031674	0.708899	0.733032	0.030166	0.779789	0.822021	0.013575
merged_without_core_domain	swe_skills_bench	33	skillrouter_official	1653	0.852995	0.339383	0.537810	0.877798	0.387780	0.511192	0.908651	0.635209	0.296431
core_without_domain	swe_skills_bench	33	skillrouter_official	661	0.662632	0.691377	0.031770	0.704992	0.729198	0.028744	0.773071	0.816944	0.013616
merged_without_core_domain	theoremqa	318	skillrouter_official	1368	0.838450	0.218567	0.642544	0.864766	0.271930	0.614766	0.902778	0.568713	0.356725
core_without_domain	theoremqa	318	skillrouter_official	376	0.465426	0.518617	0.029255	0.526596	0.566489	0.039894	0.648936	0.712766	0.018617
merged_without_core_domain	toolqa	14	skillrouter_official	1672	0.851077	0.345096	0.531100	0.877392	0.394139	0.505383	0.910885	0.640550	0.293062
core_without_domain	toolqa	14	skillrouter_official	680	0.663235	0.695588	0.029412	0.708824	0.735294	0.027941	0.782353	0.825000	0.013235
merged_all		0	skillret_embedding_0_6b	1686	0.873072	0.361803	0.522539	0.910439	0.435350	0.480427	0.968565	0.857058	0.112100
core_all		0	skillret_embedding_0_6b	694	0.766571	0.736311	0.056196	0.827089	0.801153	0.034582	0.926513	0.925072	0.001441
hard_all		0	skillret_embedding_0_6b	992	0.947581	0.099798	0.848790	0.968750	0.179435	0.792339	0.997984	0.809476	0.189516
merged_without_core_domain	bigcodebench	135	skillret_embedding_0_6b	1551	0.882656	0.335268	0.557060	0.914894	0.404255	0.516441	0.968407	0.847195	0.121857
core_without_domain	bigcodebench	135	skillret_embedding_0_6b	559	0.767442	0.753131	0.039356	0.819320	0.803220	0.026834	0.915921	0.914132	0.001789
merged_without_core_domain	champ	89	skillret_embedding_0_6b	1597	0.902943	0.363807	0.548528	0.937383	0.437696	0.504070	0.986850	0.869756	0.117721
core_without_domain	champ	89	skillret_embedding_0_6b	605	0.829752	0.796694	0.056198	0.885950	0.861157	0.031405	0.968595	0.968595	0.000000
merged_without_core_domain	logicbench	19	skillret_embedding_0_6b	1667	0.878224	0.362328	0.527295	0.914217	0.434913	0.484703	0.970606	0.857828	0.113377
core_without_domain	logicbench	19	skillret_embedding_0_6b	675	0.776296	0.748148	0.054815	0.834074	0.810370	0.032593	0.930370	0.928889	0.001481
merged_without_core_domain	medcalcbench	55	skillret_embedding_0_6b	1631	0.869405	0.340282	0.540159	0.907419	0.416309	0.496628	0.967505	0.852238	0.115880
core_without_domain	medcalcbench	55	skillret_embedding_0_6b	639	0.748044	0.713615	0.061033	0.812207	0.784038	0.037559	0.920188	0.918623	0.001565
merged_without_core_domain	skillsbench	31	skillret_embedding_0_6b	1655	0.876737	0.354683	0.532326	0.913595	0.429003	0.489426	0.969789	0.856193	0.114199
core_without_domain	skillsbench	31	skillret_embedding_0_6b	663	0.770739	0.736048	0.058824	0.831071	0.802413	0.036199	0.927602	0.926094	0.001508
merged_without_core_domain	swe_skills_bench	33	skillret_embedding_0_6b	1653	0.877193	0.355112	0.532365	0.913491	0.428917	0.489413	0.970357	0.856624	0.114338
core_without_domain	swe_skills_bench	33	skillret_embedding_0_6b	661	0.771558	0.738275	0.057489	0.830560	0.803328	0.034796	0.928896	0.927383	0.001513
merged_without_core_domain	theoremqa	318	skillret_embedding_0_6b	1368	0.869152	0.244152	0.635234	0.907164	0.324561	0.587719	0.964181	0.826754	0.138158
core_without_domain	theoremqa	318	skillret_embedding_0_6b	376	0.662234	0.625000	0.071809	0.744681	0.707447	0.047872	0.875000	0.872340	0.002660
merged_without_core_domain	toolqa	14	skillret_embedding_0_6b	1672	0.873804	0.359450	0.525718	0.910885	0.432416	0.483852	0.968301	0.855861	0.113038
core_without_domain	toolqa	14	skillret_embedding_0_6b	680	0.766176	0.738235	0.054412	0.826471	0.801471	0.033824	0.925000	0.923529	0.001471
merged_all		0	r3_skill_embedding_reranker	1686	0.888493	0.372479	0.533215	0.924081	0.434757	0.500000	0.964413	0.677936	0.291815
core_all		0	r3_skill_embedding_reranker	694	0.778098	0.770893	0.048991	0.828530	0.827089	0.025937	0.913545	0.917867	0.008646
hard_all		0	r3_skill_embedding_reranker	992	0.965726	0.093750	0.871976	0.990927	0.160282	0.831653	1.000000	0.510081	0.489919
merged_without_core_domain	bigcodebench	135	r3_skill_embedding_reranker	1551	0.903933	0.344939	0.572534	0.935525	0.403611	0.540941	0.963894	0.652482	0.316570
core_without_domain	bigcodebench	135	r3_skill_embedding_reranker	559	0.794275	0.790698	0.041145	0.837209	0.835420	0.025045	0.899821	0.905188	0.008945
merged_without_core_domain	champ	89	r3_skill_embedding_reranker	1597	0.914214	0.369443	0.558547	0.947401	0.430808	0.524734	0.986224	0.682530	0.306199
core_without_domain	champ	89	r3_skill_embedding_reranker	605	0.829752	0.821488	0.044628	0.876033	0.874380	0.021488	0.963636	0.965289	0.004959
merged_without_core_domain	logicbench	19	r3_skill_embedding_reranker	1667	0.892022	0.369526	0.538692	0.926815	0.430714	0.505699	0.965207	0.674865	0.295141
core_without_domain	logicbench	19	r3_skill_embedding_reranker	675	0.783704	0.774815	0.048889	0.832593	0.828148	0.026667	0.914074	0.917037	0.008889
merged_without_core_domain	medcalcbench	55	r3_skill_embedding_reranker	1631	0.886573	0.353771	0.549969	0.922134	0.416309	0.516248	0.963213	0.667075	0.301655
core_without_domain	medcalcbench	55	r3_skill_embedding_reranker	639	0.763693	0.757433	0.050078	0.815336	0.813772	0.026604	0.906103	0.910798	0.009390
merged_without_core_domain	skillsbench	31	r3_skill_embedding_reranker	1655	0.894260	0.367976	0.541994	0.929305	0.430816	0.508761	0.966163	0.673716	0.297281
core_without_domain	skillsbench	31	r3_skill_embedding_reranker	663	0.787330	0.778281	0.048265	0.837104	0.835596	0.025641	0.915535	0.918552	0.009050
merged_without_core_domain	swe_skills_bench	33	r3_skill_embedding_reranker	1653	0.899577	0.373866	0.541440	0.932849	0.435572	0.506957	0.966122	0.673321	0.297641
core_without_domain	swe_skills_bench	33	r3_skill_embedding_reranker	661	0.800303	0.794251	0.045386	0.845688	0.848714	0.019667	0.915280	0.918306	0.009077
merged_without_core_domain	theoremqa	318	r3_skill_embedding_reranker	1368	0.875000	0.239766	0.652778	0.914474	0.311404	0.614766	0.961257	0.609649	0.358187
core_without_domain	theoremqa	318	r3_skill_embedding_reranker	376	0.635638	0.625000	0.074468	0.712766	0.710106	0.042553	0.859043	0.872340	0.010638
merged_without_core_domain	toolqa	14	r3_skill_embedding_reranker	1672	0.888158	0.368421	0.537081	0.924043	0.430622	0.504187	0.964713	0.675837	0.294258
core_without_domain	toolqa	14	r3_skill_embedding_reranker	680	0.775000	0.769118	0.048529	0.826471	0.825000	0.026471	0.913235	0.917647	0.008824
merged_all		0	controlled_reference	1686	0.833333	0.007117	0.833333	0.865362	0.019573	0.865362	0.916963	0.041518	0.916963
core_all		0	controlled_reference	694	0.752161	0.001441	0.752161	0.801153	0.001441	0.801153	0.906340	0.001441	0.906340
hard_all		0	controlled_reference	992	0.890121	0.011089	0.890121	0.910282	0.032258	0.910282	0.924395	0.069556	0.924395
merged_without_core_domain	bigcodebench	135	controlled_reference	1551	0.833656	0.007737	0.833656	0.863959	0.021277	0.863959	0.913604	0.045132	0.913604
core_without_domain	bigcodebench	135	controlled_reference	559	0.733453	0.001789	0.733453	0.781753	0.001789	0.781753	0.894454	0.001789	0.894454
merged_without_core_domain	champ	89	controlled_reference	1597	0.856606	0.007514	0.856606	0.887289	0.020664	0.887289	0.928616	0.043832	0.928616
core_without_domain	champ	89	controlled_reference	605	0.801653	0.001653	0.801653	0.849587	0.001653	0.849587	0.935537	0.001653	0.935537
merged_without_core_domain	logicbench	19	controlled_reference	1667	0.837433	0.007199	0.837433	0.869826	0.019796	0.869826	0.918416	0.041992	0.918416
core_without_domain	logicbench	19	controlled_reference	675	0.760000	0.001481	0.760000	0.810370	0.001481	0.810370	0.909630	0.001481	0.909630
merged_without_core_domain	medcalcbench	55	controlled_reference	1631	0.841202	0.007357	0.841202	0.871858	0.020233	0.871858	0.917229	0.042918	0.917229
core_without_domain	medcalcbench	55	controlled_reference	639	0.765258	0.001565	0.765258	0.812207	0.001565	0.812207	0.906103	0.001565	0.906103
merged_without_core_domain	skillsbench	31	controlled_reference	1655	0.835045	0.007251	0.835045	0.866465	0.019940	0.866465	0.917221	0.042296	0.917221
core_without_domain	skillsbench	31	controlled_reference	663	0.752640	0.001508	0.752640	0.800905	0.001508	0.800905	0.906486	0.001508	0.906486
merged_without_core_domain	swe_skills_bench	33	controlled_reference	1653	0.839080	0.006655	0.839080	0.871143	0.019359	0.871143	0.921355	0.041742	0.921355
core_without_domain	swe_skills_bench	33	controlled_reference	661	0.762481	0.000000	0.762481	0.812405	0.000000	0.812405	0.916793	0.000000	0.916793
merged_without_core_domain	theoremqa	318	controlled_reference	1368	0.823099	0.008772	0.823099	0.853070	0.024123	0.853070	0.905702	0.051170	0.905702
core_without_domain	theoremqa	318	controlled_reference	376	0.646277	0.002660	0.646277	0.702128	0.002660	0.702128	0.856383	0.002660	0.856383
merged_without_core_domain	toolqa	14	controlled_reference	1672	0.833732	0.007177	0.833732	0.864833	0.019737	0.864833	0.916268	0.041866	0.916268
core_without_domain	toolqa	14	controlled_reference	680	0.751471	0.001471	0.751471	0.798529	0.001471	0.798529	0.904412	0.001471	0.904412
